Suburb,Location
Keysborough,"Cheltenham Road at the intersection of Cheltenham Road and Springvale Road, Keysborough"
Kilsyth South,"Canterbury Road at the intersection of Canterbury Road and Colchester Road, Kilsyth South"
Kingsville,"Geelong Street at the intersection of Geelong Street and Geelong Road, Kingsville"
Lake Gardens,"Sturt Street at the intersection of Sturt Street and Gillies Street, Lake Gardens"
Lilydale,"Maroondah Highway, approximately 100 metres West of Hutchinson Street, Lilydale"
Lynbrook,"South Gippsland Highway at the intersection of South Gippsland Highway and Lynbrook Boulevard, Lynbrook"
Maidstone,"Ashley Street at the intersection of Ashley Street and Churchill Avenue, Maidstone"
Maidstone,"Ballarat Road at the intersection of Ballarat Road and Churchill Avenue, Maidstone"
Maidstone,"Ballarat Road at the intersection of Ballarat Road and Ashley Street, Maidstone"
Malvern East,"Princes Highway at the intersection of Princes Highway and Belgrave Road, Malvern East"
Malvern East,"Dandenong Road at the intersection of Dandenong Road and Warrigal Road, Malvern East"
Melbourne,"St Kilda Road at the intersection of St Kilda Road and Union Street, Melbourne"
Melbourne,"Elizabeth Street at the intersection of Elizabeth Street and La Trobe Street, Melbourne"
Melbourne,"Elizabeth Street at the intersection of Elizabeth Street and Victoria Street, Melbourne"
Melbourne,"William Street at the intersection of William Street and Flinders Street, Melbourne"
Melbourne,"Flinders Street at the intersection of Flinders Street and William Street, Melbourne"
Melbourne,"St Kilda Road at the intersection of St Kilda Road and Kings Way, Melbourne"
Melbourne,"Punt Road at the intersection of Punt Road and Commercial Road, Melbourne"
Melbourne,"Swan Street at the intersection of Swan Street and Batman Avenue, Melbourne"
Melbourne,"Exhibition Street at the intersection of Exhibition Street and Victoria Street, Melbourne"
Mentone,"Nepean Highway at the intersection of Nepean Highway and Warrigal Road, Mentone"
Midland Highway Bagshot Eastbound,"Midland Highway, Eastbound at Bagshot level crossing 40m west of Peatings Road, Bagshot"
Midland Highway Bagshot Westbound,"Midland Highway, Westbound at Bagshot level crossing 40m west of Peatings Road, Bagshot"
Mildura,"Fifteenth Street at the intersection of Fifteenth Street and San Mateo Avenue, Mildura"
Glen Iris,"Monash Freeway, Northbound approximately 290m south of High Street, Glen Iris"
Glen Iris,"Monash Freeway, Southbound approximately 470m south of High Street, Glen Iris"
Moonee Ponds,"Maribyrnong Road at the intersection of Maribyrnong Road and Mt Alexander Road, Moonee Ponds"
Mornington,"Nepean Highway at the intersection of Nepean Highway and Bungower Road, Mornington"
Mornington,"Nepean Highway at the intersection of Nepean Highway and Main Street, Mornington"
Mount Waverley,"Blackburn Road at the intersection of Blackburn Road and High Street, Mount Waverley"
Mount Waverley,"Blackburn Road at the intersection of Blackburn Road and Monash Freeway, Mount Waverley"
Mount Waverley,"Highbury Road at the intersection of Highbury Road and Huntingdale Road, Mount Waverley"
Mount Waverley,"Waverley Road at the intersection of Waverley Road and Blackburn Road, Mount Waverley"
Mount Waverley,"High Street Road at the intersection of High Street Road and Huntingdale Road, Mount Waverley"
Mount Waverley,"High Street at the intersection of High Street and Stephensons Road, Mount Waverley"
Mulgrave,"Springvale Road at the intersection of Springvale Road and Wellington Road, Mulgrave"
Narre Warren,"Princes Highway at the intersection of Princes Highway and Webb Street, Narre Warren"
Newtown,"Shannon Avenue at the intersection of Shannon Avenue and Noble Street, Newtown"
Newtown,"Shannon Avenue at the intersection of Shannon Avenue and Aphrasia Street, Newtown"
Noble Park,"Heatherton Road at the intersection of Heatherton Road and Corrigan Road, Noble Park"
Noble Park,"Lightwood Road at the intersection of Lightwood Road and Corrigan Road, Noble Park"
Noble Park North,"Princes Highway at the intersection of Princes Highway and Elonera Road, Noble Park North"
Norlane,"The Boulevard at the intersection of The Boulevard and Melbourne Road, Norlane"
Norlane,"Princes Highway at the intersection of Princes Highway and Sparks Road, Norlane"
Carlton North,"Royal Parade at the intersection of Royal Parade and Cemetery Road West, Carlton North"
North Coburg,"Murray Road at the intersection of Murray Road and Elizabeth Street, North Coburg"
Northcote,"St Georges Road at the intersection of St Georges Road and Arthurton Road, Northcote"
Nunawading,"Maroondah Highway at the intersection of Maroondah Highway and Springvale Road, Nunawading"
Oakleigh,"Warrigal Road at the intersection of Warrigal Road and North Road, Oakleigh"
Oakleigh,"Ferntree Gully Road at the intersection of Ferntree Gully Road and Clayton Road, Oakleigh"
Oakleigh East,"Princes Highway at the intersection of Princes Highway and Huntingdale Road, Oakleigh East"
Oakleigh East,"Dandenong Road at the intersection of Dandenong Road and Clayton Road, Oakleigh East"
Oakleigh South,"Centre Road at the intersection of Centre Road and Huntingdale Road, Oakleigh South"
Parkville,"Flemington Road at the intersection of Flemington Road and Gatehouse Street, Parkville"
Parkville,"Cemetery Road West at the intersection of Cemetery Road West and Royal Parade, Parkville"
Parkville,"Royal Parade at the intersection of Royal Parade and Gatehouse Street, Parkville"
Pascoe Vale South,"Sussex Street at the intersection of Sussex Street and O'Hea Street, Pascoe Vale South"
Peninsula Link Frankston,"Peninsula Link Freeway and Skye Road Bridge Northbound, Frankston"
Peninsula Link Frankston,"Peninsula Link Freeway and Skye Road Bridge Northbound, Frankston"
Peninsula Link Frankston,"Peninsula Link Freeway and Skye Road Bridge Southbound, Frankston"
Peninsula Link Frankston,"Peninsula Link Freeway and Skye Road Bridge Southbound, Frankston"
Peninsula Link Moorooduc,"Peninsula Link Freeway and Mornington-Tyabb Road Bridge Southbound, Moorooduc"
Peninsula Link Moorooduc,"Peninsula Link Freeway and Loders Road Bridge Northbound, Moorooduc"
Peninsula Link Moorooduc,"Peninsula Link Freeway and Eramosa Road West Bridge Northbound, Moorooduc"
Peninsula Link Moorooduc,"Peninsula Link Freeway and Eramosa Road West Bridge Northbound, Moorooduc"
Peninsula Link Moorooduc,"Peninsula Link Freeway and Eramosa Road West Bridge Southbound, Moorooduc"
Peninsula Link Moorooduc,"Peninsula Link Freeway and Eramosa Road West Bridge Southbound, Moorooduc"
Peninsula Link Moorooduc,"Peninsula Link Freeway and Mornington-Tyabb Road Bridge Southbound, Moorooduc"
Peninsula Link Moorooduc,"Peninsula Link Freeway and Loders Road Bridge Northbound, Moorooduc"
Prahran,"Punt Road at the intersection of Punt Road and High Street, Prahran"
Preston,"Bell Street at the intersection of Bell Street and Plenty Road, Preston"
Preston,"Bell Street at the intersection of Bell Street and St Georges Road, Preston"
Preston,"Albert Street at the intersection of Albert Street and Gower Street, Preston"
Preston,"Gilbert Road at the intersection of Gilbert Road and Bell Street, Preston"
Preston,"Gilbert Road at the intersection of Gilbert Road and Murray Road, Preston"
Princes Freeway Point Cook,"Princes Freeway, Forsyth Road Bridge, Geelong Bound, Point Cook"
Princes Freeway Williams Landing,"Princes Freeway, Forsyth Road Bridge, Melbourne Bound, Williams Landing"
Princes Freeway Avalon,"Princes Freeway, Avalon Road Bridge, Geelong Bound, Avalon"
Princes Freeway Lara,"Princes Freeway, Avalon Road Bridge, Melbourne Bound, Lara"
Princes Freeway Point Wilson,"Princes Freeway, Point Wilson Road Bridge, Geelong Bound, Point Wilson"
Princes Freeway Little River,"Princes Freeway, Point Wilson Road Bridge, Melbourne Bound, Little River"
Ringwood,"Ringwood Street at the intersection of Ringwood Street and Maroondah Highway, Ringwood"
Rowville,"Stud Road at the intersection of Stud Road and Wellington Road, Rowville"
Sale,"York Street at the intersection of York Street and MacArthur Street, Sale"
Scoresby,"Stud Road at the intersection of Stud Road and Ferntree Gully Road, Scoresby"
Shepparton,"Wyndham Street at the intersection of Wyndham Street and High Street, Shepparton"
South Geelong,"Latrobe Terrace at the intersection of Latrobe Terrace and Fyans Street, South Geelong"
South Geelong,"Moorabool Street at the intersection of Moorabool Street and Fyans Street, South Geelong"
South Melbourne,"Kings Way at the intersection of Kings Way and Park Street, South Melbourne"
South Melbourne,"City Road at the intersection of City Road and Montague Street, South Melbourne"
South Yarra,"Alexandra Avenue at the intersection of Alexandra Avenue and Church Street, South Yarra"
South Yarra,"Punt Road at the intersection of Punt Road and Toorak Road, South Yarra"
St Kilda,"Alma Road at the intersection of Alma Road and Chapel Street, St Kilda"
St Kilda,"St Kilda Road at the intersection of St Kilda Road and Fitzroy Street, St Kilda"
St Kilda,"Dandenong Road at the intersection of Dandenong Road and Chapel Street, St Kilda"
St Kilda,"Fitzroy Street at the interseciton of Fitzroy Street and Lakeside Drive, St Kilda"
St Kilda,"Barkly Street at the intersection of Barkly Street and Carlisle Street, St Kilda"
St Kilda East,"Brighton Road at the intersection of Brighton Road and Glen Eira Road, St Kilda East"
St Kilda East,"Glen Eira Road at the intersection of Glen Eira Road and Hotham Street, StKilda East"
Strathmore,"Pascoe Vale Road at the intersection of Pascoe Vale Road and Peck Avenue, Strathmore"
Surrey Hills,"Mont Albert Road at the intersection of Mont Albert Road and Union Road, Surrey Hills"
Surrey Hills,"Union Road at the intersection of Union Road and Mont Albert Road, Surrey Hills"
Surrey Hills,"Canterbury Road at the intersection of Canterbury Road and Warrigal Road, Surrey Hills"
